signal_id,symbol,es,at,residual,regime,final_state,mt5_ticket,timestamp_generated,timestamp_triggered,timestamp_submitted,timestamp_opened,timestamp_closed,pnl_points,pnl_money
SIG_20260616_150812_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.3298754944697596e-05,DYNAMIC,GENERATED,,2026-06-16T15:08:12.142495,,,,,0.0,0.0
SIG_20260616_150912_EURJPY,EURJPY,0.3253968253968254,0.9146825396825397,1.051958271620527e-05,DYNAMIC,GENERATED,,2026-06-16T15:09:12.835656,,,,,0.0,0.0
SIG_20260616_150912_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.449789501840121e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:09:12.888088,2026-06-16T15:09:12.963019,,,,0.0,0.0
SIG_20260616_150913_GBPJPY,GBPJPY,0.6904761904761905,0.8908730158730159,1.974501889841351e-05,DYNAMIC,GENERATED,,2026-06-16T15:09:13.039859,,,,,0.0,0.0
SIG_20260616_150913_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005909249827376088,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:09:13.085326,2026-06-16T15:09:13.131242,,,,0.0,0.0
SIG_20260616_150913_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.3346296139273168e-05,DYNAMIC,GENERATED,,2026-06-16T15:09:13.214360,,,,,0.0,0.0
SIG_20260616_151013_EURJPY,EURJPY,0.32341269841269843,0.9146825396825397,1.050548041068062e-05,DYNAMIC,GENERATED,,2026-06-16T15:10:13.937281,,,,,0.0,0.0
SIG_20260616_151013_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.4499139908632746e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:10:13.990590,2026-06-16T15:10:14.046914,,,,0.0,0.0
SIG_20260616_151014_GBPJPY,GBPJPY,0.6865079365079365,0.8908730158730159,1.9717948587295913e-05,DYNAMIC,GENERATED,,2026-06-16T15:10:14.129835,,,,,0.0,0.0
SIG_20260616_151014_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005908138029780711,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:10:14.180876,2026-06-16T15:10:14.232847,,,,0.0,0.0
SIG_20260616_151014_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.3309748401857905e-05,DYNAMIC,GENERATED,,2026-06-16T15:10:14.306424,,,,,0.0,0.0
SIG_20260616_151114_EURJPY,EURJPY,0.32341269841269843,0.9146825396825397,1.0502099393853759e-05,DYNAMIC,GENERATED,,2026-06-16T15:11:14.986619,,,,,0.0,0.0
SIG_20260616_151115_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.449789501840121e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:11:15.029261,2026-06-16T15:11:15.079224,,,,0.0,0.0
SIG_20260616_151115_GBPJPY,GBPJPY,0.6904761904761905,0.8908730158730159,1.973706834356459e-05,DYNAMIC,GENERATED,,2026-06-16T15:11:15.159774,,,,,0.0,0.0
SIG_20260616_151115_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.000590866405505445,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:11:15.202387,2026-06-16T15:11:15.249404,,,,0.0,0.0
SIG_20260616_151115_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.3309748401857905e-05,DYNAMIC,GENERATED,,2026-06-16T15:11:15.322840,,,,,0.0,0.0
SIG_20260616_151215_EURJPY,EURJPY,0.32142857142857145,0.9146825396825397,1.0486061620426786e-05,DYNAMIC,GENERATED,,2026-06-16T15:12:15.953102,,,,,0.0,0.0
SIG_20260616_151215_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.449789501840121e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:12:15.990108,2026-06-16T15:12:16.041403,,,,0.0,0.0
SIG_20260616_151216_GBPJPY,GBPJPY,0.6865079365079365,0.8908730158730159,1.9699909671964277e-05,DYNAMIC,GENERATED,,2026-06-16T15:12:16.112450,,,,,0.0,0.0
SIG_20260616_151216_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005908443544380788,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:12:16.163611,2026-06-16T15:12:16.221054,,,,0.0,0.0
SIG_20260616_151216_EURUSD,EURUSD,0.5853174603174603,0.9246031746031746,2.3309748401857905e-05,DYNAMIC,GENERATED,,2026-06-16T15:12:16.304570,,,,,0.0,0.0
SIG_20260616_151316_EURJPY,EURJPY,0.3253968253968254,0.9146825396825397,1.0512415913934163e-05,DYNAMIC,GENERATED,,2026-06-16T15:13:16.971989,,,,,0.0,0.0
SIG_20260616_151317_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.4499139908632746e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:13:17.014594,2026-06-16T15:13:17.063751,,,,0.0,0.0
SIG_20260616_151317_GBPJPY,GBPJPY,0.6904761904761905,0.8908730158730159,1.9761438867226796e-05,DYNAMIC,GENERATED,,2026-06-16T15:13:17.139009,,,,,0.0,0.0
SIG_20260616_151317_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005911171866729422,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:13:17.191357,2026-06-16T15:13:17.244865,,,,0.0,0.0
SIG_20260616_151317_EURUSD,EURUSD,0.5853174603174603,0.9325396825396826,2.333983322666666e-05,DYNAMIC,GENERATED,,2026-06-16T15:13:17.314449,,,,,0.0,0.0
SIG_20260616_151418_EURJPY,EURJPY,0.3273809523809524,0.9146825396825397,1.0530766621589529e-05,DYNAMIC,GENERATED,,2026-06-16T15:14:18.043578,,,,,0.0,0.0
SIG_20260616_151418_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.4502563258137984e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:14:18.086530,2026-06-16T15:14:18.146515,,,,0.0,0.0
SIG_20260616_151418_GBPJPY,GBPJPY,0.6924603174603174,0.8908730158730159,1.9791838586227627e-05,DYNAMIC,GENERATED,,2026-06-16T15:14:18.220021,,,,,0.0,0.0
SIG_20260616_151418_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005918340639224301,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:14:18.269115,2026-06-16T15:14:18.326242,,,,0.0,0.0
SIG_20260616_151418_EURUSD,EURUSD,0.5873015873015873,0.9325396825396826,2.3380840651930754e-05,DYNAMIC,GENERATED,,2026-06-16T15:14:18.403524,,,,,0.0,0.0
SIG_20260616_151519_EURJPY,EURJPY,0.3273809523809524,0.9146825396825397,1.0530766621589529e-05,DYNAMIC,GENERATED,,2026-06-16T15:15:19.044829,,,,,0.0,0.0
SIG_20260616_151519_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.450723128873109e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:15:19.094409,2026-06-16T15:15:19.144231,,,,0.0,0.0
